faixa_etaria;tamanho_familia;renda_familiar;redacao;sexo_feminino;escola_privada;escola_publica;treineiro;media_objetivas;faltou;branco_amarelo;preto_pardo_indigena;acesso_tecnologia
0;5;10;0.0;1;0;1;0;457.00000000000006;0;0;1;1
0;4;11;740.0;1;1;0;0;559.05;0;0;1;1
1;3;1;;1;0;0;0;;1;0;1;1
8;4;13;640.0;0;0;0;0;613.25;0;1;0;1
0;2;3;740.0;1;0;1;0;521.15;0;0;1;1
0;4;2;760.0;1;1;0;0;499.5;0;0;1;1
2;2;1;460.0;0;0;1;0;391.57500000000005;0;0;1;0
19;4;11;800.0;1;0;0;1;551.7;0;1;0;1
1;3;2;;0;0;1;0;;1;0;1;1
0;5;2;520.0;0;0;1;0;459.72499999999997;0;0;1;1
0;5;1;260.0;0;0;1;0;429.34999999999997;0;0;1;1
4;3;11;760.0;1;0;0;0;671.025;0;1;0;1
1;4;7;920.0;0;1;0;0;758.0;0;1;0;1
4;2;1;;1;0;0;0;;1;0;1;1
1;2;1;;0;0;1;0;;1;0;1;1
0;3;9;680.0;0;0;0;1;655.7;0;1;0;1
1;3;8;740.0;0;1;0;0;553.5;0;0;1;1
1;4;16;760.0;1;0;1;0;470.075;0;0;1;0
1;3;1;340.0;1;0;0;1;491.95000000000005;0;1;0;0
1;4;1;940.0;1;0;1;0;514.8;0;1;0;1
19;5;7;;1;0;0;1;;1;1;0;1
9;3;1;;1;0;0;0;;1;0;1;0
9;2;1;480.0;0;0;0;0;608.8;1;0;1;1
11;3;3;520.0;1;0;0;0;411.075;0;0;1;1
2;2;8;720.0;0;0;0;0;619.425;0;1;0;1
4;5;11;660.0;1;0;0;0;501.45000000000005;0;0;1;1
1;5;2;600.0;1;0;1;0;528.475;0;0;1;1
19;5;1;;1;0;0;1;;1;0;1;1
3;4;2;880.0;1;0;0;0;511.9;0;1;0;1
1;3;9;820.0;1;0;0;0;567.725;0;0;1;1
1;3;9;540.0;1;0;0;0;494.0;0;1;0;1
4;3;1;640.0;1;0;0;0;462.84999999999997;0;0;1;0
0;5;2;820.0;1;0;1;0;544.575;0;1;0;1
1;3;11;800.0;1;0;0;0;549.55;0;1;0;1
0;3;16;600.0;0;0;0;1;575.95;0;0;1;1
0;4;8;720.0;1;0;0;1;498.75;0;0;1;1
13;4;1;;1;0;0;0;;1;0;1;0
0;4;3;560.0;0;0;1;0;616.075;0;1;0;1
1;4;11;;1;0;0;0;;1;1;0;1
7;3;1;580.0;0;0;0;0;569.6;0;1;0;1
1;4;10;;1;0;1;0;;1;0;1;1
3;4;1;;1;0;1;0;;1;1;0;1
19;4;11;720.0;1;0;0;1;532.025;0;1;0;1
2;4;0;920.0;1;0;0;0;640.9000000000001;1;0;1;1
1;5;1;520.0;0;0;1;0;515.075;0;1;0;0
9;5;3;260.0;0;0;0;0;398.75;1;1;0;1
19;4;1;660.0;1;0;0;1;497.20000000000005;0;1;0;1
1;3;2;620.0;0;0;1;0;485.675;0;1;0;1
1;3;1;;1;0;1;0;;1;0;1;0
0;2;16;480.0;1;0;1;0;397.20000000000005;0;0;1;1
